season,weapon,gender,category,rho,pvalue,rho_ts,pvalue_ts,rho2,pvalue2,n_fencers
2018/2019,Sabre,Womens,Cadet,0.9429,1.4247676947645738e-07,0.9286,5.867938270803344e-07,0.9,4.871970948735605e-06,15
2024/2025,Sabre,Womens,Cadet,0.8364,2.3196074473363676e-06,0.9481,6.711681626030515e-11,0.8831,1.1485224991894868e-07,21
2025/2026,Sabre,Womens,Cadet,0.8656,7.764182620441938e-51,0.9028,1.249228994028915e-61,0.9448,6.773928008529828e-81,165
2014/2015,Sabre,Womens,Junior,0.5678,3.2636524978831866e-10,0.5571,8.142358559261758e-10,0.9437,8.343211110362274e-51,104
2015/2016,Sabre,Womens,Junior,0.6375,1.854010556086358e-11,0.5489,2.5650411221068605e-08,0.9487,2.747572231247862e-45,89
2016/2017,Sabre,Womens,Junior,0.7973,7.163391053440385e-26,0.7556,6.103739464821973e-22,0.9301,1.1972649498140926e-49,112
2017/2018,Sabre,Womens,Junior,0.67,3.193800209461254e-17,0.6367,3.2262839935021666e-15,0.8943,1.0135927190927563e-43,122
2018/2019,Sabre,Womens,Junior,0.7852,1.1142032318897246e-29,0.7568,1.62051377049354e-26,0.9462,1.6759033831079995e-67,136
2019/2020,Sabre,Womens,Junior,0.8289,8.761590883310334e-31,0.7816,2.5514869242240857e-25,0.9368,2.8079767678264963e-54,117
2020/2021,Sabre,Womens,Junior,0.5679,0.02722835670886185,0.5607,0.02967649609447474,0.95,6.086257958053973e-08,15
2021/2022,Sabre,Womens,Junior,0.7814,5.878562717828122e-27,0.8051,1.1211943442920129e-29,0.9317,6.052141653885935e-56,125
2022/2023,Sabre,Womens,Junior,0.838,9.776602082255733e-36,0.8272,4.259585220110756e-34,0.9215,7.965178813244435e-55,131
2023/2024,Sabre,Womens,Junior,0.7306,3.9231578257505144e-26,0.6935,1.1105832603233656e-22,0.9389,5.433896384150473e-70,149
2024/2025,Sabre,Womens,Junior,0.743,2.18001958656427e-43,0.707,1.1347480368780828e-37,0.9379,1.8674787312621573e-111,240
2025/2026,Sabre,Womens,Junior,0.8189,4.216642840979638e-58,0.8129,1.2818884495440618e-56,0.9468,9.621882612675213e-117,235
2014/2015,Sabre,Womens,Senior,0.7892,5.753174400195991e-105,0.708,1.9013851710360319e-75,0.9545,1.8871534923999534e-257,488
2015/2016,Sabre,Womens,Senior,0.8776,1.6676078065018284e-152,0.8448,5.515988830605112e-130,0.9572,1.1635056156279826e-255,473
2016/2017,Sabre,Womens,Senior,0.883,7.362203488048374e-131,0.8496,6.0574406028007746e-111,0.966,2.6391609307244748e-232,394
2017/2018,Sabre,Womens,Senior,0.8542,4.506064193629316e-125,0.8016,9.117033740740866e-99,0.9661,6.727544478360785e-257,435
2018/2019,Sabre,Womens,Senior,0.9021,3.072724667869217e-169,0.8545,2.1671841096372787e-132,0.9612,2.7915702042172675e-258,460
2019/2020,Sabre,Womens,Senior,0.8576,9.438109670385555e-108,0.8587,2.5382887734945437e-108,0.9632,6.393132027830567e-211,368
2020/2021,Sabre,Womens,Senior,0.4461,8.619876822398985e-10,0.3852,1.8164616257139166e-07,0.8624,3.840754929645597e-52,172
2021/2022,Sabre,Womens,Senior,0.9086,5.9228534160482705e-161,0.8825,2.3520376721387598e-139,0.9671,2.6475362938676428e-251,421
2022/2023,Sabre,Womens,Senior,0.9233,2.6205387417244074e-183,0.8997,4.852916595174221e-159,0.9697,6.8375944610645e-269,438
2023/2024,Sabre,Womens,Senior,0.897,1.197316540117763e-155,0.8746,2.9756829162805023e-138,0.9661,1.1119618992591669e-256,435
2024/2025,Sabre,Womens,Senior,0.9016,1.08011383419482e-194,0.8761,9.064841407826323e-170,0.9669,0.0,531
2025/2026,Sabre,Womens,Senior,0.8716,4.3148979861543436e-190,0.8355,5.629659074287906e-160,0.9605,0.0,609
