fie_season,weapon,gender,category,rho,pvalue,rho_ts,pvalue_ts,rho2,pvalue2,n_fencers
2015/2016,Foil,Womens,Cadet,0.9358,2.292672679818992e-05,0.9273,3.973774256558546e-05,0.9725,5.320531526388181e-07,11
2016/2017,Foil,Womens,Cadet,0.9464,2.9736038331995452e-08,0.9419,5.1537176572587274e-08,0.9457,3.2483704388623706e-08,16
2017/2018,Foil,Womens,Cadet,0.8985,1.267077712869302e-05,0.8989,1.2358700865600784e-05,0.9426,4.5531367312043665e-07,14
2018/2019,Foil,Womens,Cadet,0.9636,7.3209748095299185e-06,0.9879,9.307459988955516e-08,0.9515,2.279854920641689e-05,10
2024/2025,Foil,Womens,Cadet,0.9304,1.4117996879278308e-06,0.9197,3.2515501766674544e-06,0.9161,4.187533068215963e-06,14
2025/2026,Foil,Womens,Cadet,0.8207,1.1091069756649738e-18,0.8694,4.03720748381607e-23,0.9551,1.0589290875560863e-38,72
2014/2015,Foil,Womens,Junior,0.5775,1.7315295305730597e-11,0.5371,7.227764188998214e-10,0.9337,8.883760862961572e-52,114
2015/2016,Foil,Womens,Junior,0.7361,1.2941483567587647e-23,0.6561,1.793886345347257e-17,0.9302,5.3867727292178324e-58,131
2016/2017,Foil,Womens,Junior,0.7692,8.972575507895984e-21,0.676,1.1900072171652928e-14,0.9063,1.9675096027161187e-38,100
2017/2018,Foil,Womens,Junior,0.7441,3.641549567780912e-21,0.7178,3.680968956475836e-19,0.936,3.736445325693478e-52,113
2018/2019,Foil,Womens,Junior,0.7004,6.465872543480479e-17,0.6766,1.7212414293692091e-15,0.9066,9.140048777928158e-41,106
2019/2020,Foil,Womens,Junior,0.8574,7.865771911255462e-27,0.8169,1.6739361846338297e-22,0.9425,3.557738650913569e-43,89
2021/2022,Foil,Womens,Junior,0.8312,7.947219463150087e-14,0.8244,1.871204937770471e-13,0.9178,6.823888715345496e-21,50
2022/2023,Foil,Womens,Junior,0.7651,4.340144262414665e-19,0.7479,7.055483864637528e-18,0.94,2.90962358198613e-44,93
2023/2024,Foil,Womens,Junior,0.7052,4.952235489663945e-19,0.6616,3.478233171053274e-16,0.941,2.0093230639836277e-56,118
2024/2025,Foil,Womens,Junior,0.7966,7.856854297036132e-35,0.7492,8.197707930214241e-29,0.9504,1.811002869180835e-78,153
